A1,سَكَنَ,Sakana,skn
A1,تَبَوَّأَ (بوء),Tabaw’wa’a(Baw’a),bwA
A1,ثَوَى,Tha’waa,vwy
A1,بَدَا (بَدُو),Badaa(Badow),bdw
A1,حَضَرَ,Ha’darr,HDr
A1,خَلَدَ,Khalad,xld
A1,عَاشَرَ,Aashara,E$r
A1,غَنِيَ,Ghaniya,gny
A2,اَسْكَنَ,Asskana,skn
A2,بَوَّأَ,Baw’wa’a,bwA
A2,عَمَرَ,Amara,Emr
A2,آوَى,Aa’waa,Awy
A3,أَخَّرَتْ,Akh’arat,
A3,دَارُ الآخِرَة,Daarul’Aakhirah,
A3,اليَومُ الآخِرْ,Alyawmul’Aakhir,
A3,دَارُ القَرَارْ,Darul’Qaraar,
A3,يَومُ البَعْثْ,Yawmul’Ba’a’th,
A4,انْس,Inss,
A4,إِنْسَانْ,In’ssaan,
A4,نَاسْ,Naas,
A4,إِنْسِيَّا,In’seeya,
A4,أَنَاسِي,Anaasee,
A4,آدَمْ,Aadam,
A4,بَشَرْ,Bashar,
A5,سَكَنَ,Sakana,
A5,سَبَتَ,Sabata,
A5,اِرْتَفَقَ,Irr’tafaqa,
A6,أَمَلْ,Amal,
A6,أُمْنِيَةْ,Um’niyah,
A6,وَدَّ,Wadda,
A7,بَرْزَخْ,Barr’zakh,
A7,حِجِرْ,Hijir,
A7,حَجْزْ,Haj’zz,
A7,حَدْ,Hadd,
A8,حُرْ,Hurr,
A8,مُحْصَنْ,Muh’san,
A8,سُدَى,Sudaa,
A9,حَرَّرَ,Har’rara,
A9,طَلَّقَ,Tal’laqa,
A9,سَرَّحَ,Sarraha,
A10,اَمْتَحَنَ,Im’tahana,
A10,بَلَىَ- اِبْتَلَىَ,Balaa-Ib’talaa,
A10,فَتَنَ,Fatana,
A11,يَسِير,Yaseer,
A11,هَيِّنْ,Hayyin,
A12,سَمَاء,Samaa’a,
A12,فَلَكْ,Falak,
A13,تَخَبَّطَ,Takhab’bata,
A13,اِعْتَرَىَ(عرو),Ee’taraa(Aroo),
A14,نَارْ,Naar,
A14,لَظَىَ,Lathaa,
A15,شِهَابْ,Shihaab,
